CG beads number:   49,  the thread number:   16
thread:  13,  CNa = 1000.000000,  CMg = 0.000000, t0 = 120.000000
thread: 12,  step:  4000,     T:110.0,    Energy: 135.380753 kcal/mol
thread: 6,  step:  5000,     T: 63.0,    Energy: 138.402344 kcal/mol
thread: 9,  step:  6000,     T: 86.0,    Energy: 144.398483 kcal/mol
thread: 5,  step:  5000,     T: 55.0,    Energy: 145.571503 kcal/mol
thread: 0,  step:  5000,     T: 25.0,    Energy: 125.638039 kcal/mol
thread: 3,  step:  5000,     T: 43.0,    Energy: 142.139206 kcal/mol
thread: 7,  step:  5000,     T: 71.0,    Energy: 156.151184 kcal/mol
thread: 2,  step:  5000,     T: 37.0,    Energy: 190.110062 kcal/mol
thread: 15,  step:  6000,     T:  0.0,    Energy: 151.058517 kcal/mol
thread: 14,  step:  6000,     T:130.0,    Energy: 147.957947 kcal/mol
thread: 4,  step:  5000,     T: 49.0,    Energy: 141.153061 kcal/mol
thread: 6,  step:  6000,     T: 63.0,    Energy: 158.475967 kcal/mol
thread: 10,  step:  5000,     T: 94.0,    Energy: 115.498428 kcal/mol
thread: 8,  step:  5000,     T: 78.0,    Energy: 125.979004 kcal/mol
thread: 1,  step:  5000,     T: 31.0,    Energy: 153.681732 kcal/mol
thread: 12,  step:  5000,     T:110.0,    Energy: 144.219162 kcal/mol
thread: 13,  step:  5000,     T:120.0,    Energy: 142.286041 kcal/mol
thread: 11,  step:  5000,     T:102.0,    Energy: 139.577728 kcal/mol
thread: 9,  step:  7000,     T: 86.0,    Energy: 150.900528 kcal/mol
thread: 7,  step:  6000,     T: 71.0,    Energy: 150.390900 kcal/mol
thread: 3,  step:  6000,     T: 43.0,    Energy: 160.680237 kcal/mol
thread: 5,  step:  6000,     T: 55.0,    Energy: 139.476685 kcal/mol
thread: 0,  step:  6000,     T: 25.0,    Energy: 154.906631 kcal/mol
thread: 6,  step:  7000,     T: 63.0,    Energy: 150.135071 kcal/mol
thread: 15,  step:  7000,     T:  0.0,    Energy: 151.776169 kcal/mol
thread: 1,  step:  6000,     T: 31.0,    Energy: 150.809540 kcal/mol
thread: 2,  step:  6000,     T: 37.0,    Energy: 146.367798 kcal/mol
thread: 14,  step:  7000,     T:130.0,    Energy: 144.670944 kcal/mol
thread: 13,  step:  6000,     T:120.0,    Energy: 124.023811 kcal/mol
thread: 9,  step:  8000,     T: 86.0,    Energy: 148.017059 kcal/mol
thread: 4,  step:  6000,     T: 49.0,    Energy: 140.007187 kcal/mol
thread: 10,  step:  6000,     T: 94.0,    Energy: 152.077789 kcal/mol
thread: 11,  step:  6000,     T:102.0,    Energy: 137.375290 kcal/mol
thread: 8,  step:  6000,     T: 78.0,    Energy: 132.213531 kcal/mol
thread: 12,  step:  6000,     T:110.0,    Energy: 142.598358 kcal/mol
thread: 7,  step:  7000,     T: 71.0,    Energy: 124.449059 kcal/mol
thread: 5,  step:  7000,     T: 55.0,    Energy: 143.085587 kcal/mol
thread: 3,  step:  7000,     T: 43.0,    Energy: 153.851562 kcal/mol
thread: 6,  step:  8000,     T: 63.0,    Energy: 130.952789 kcal/mol
thread: 1,  step:  7000,     T: 31.0,    Energy: 144.437576 kcal/mol
thread: 0,  step:  7000,     T: 25.0,    Energy: 125.969681 kcal/mol
thread: 11,  step:  7000,     T:102.0,    Energy: 140.855637 kcal/mol
thread: 15,  step:  8000,     T:  0.0,    Energy: 140.615936 kcal/mol
thread: 2,  step:  7000,     T: 37.0,    Energy: 136.157028 kcal/mol
thread: 7,  step:  8000,     T: 71.0,    Energy: 125.216553 kcal/mol
thread: 14,  step:  8000,     T:130.0,    Energy: 153.074295 kcal/mol
thread: 13,  step:  7000,     T:120.0,    Energy: 128.708633 kcal/mol
thread: 10,  step:  7000,     T: 94.0,    Energy: 143.377258 kcal/mol
thread: 9,  step:  9000,     T: 86.0,    Energy: 142.060837 kcal/mol
thread: 4,  step:  7000,     T: 49.0,    Energy: 116.976204 kcal/mol
thread: 8,  step:  7000,     T: 78.0,    Energy: 154.131104 kcal/mol
thread: 1,  step:  8000,     T: 31.0,    Energy: 137.247833 kcal/mol
thread: 6,  step:  9000,     T: 63.0,    Energy: 132.831772 kcal/mol
thread: 12,  step:  7000,     T:110.0,    Energy: 151.700211 kcal/mol
thread: 3,  step:  8000,     T: 43.0,    Energy: 148.986115 kcal/mol
thread: 5,  step:  8000,     T: 55.0,    Energy: 131.792221 kcal/mol
thread: 0,  step:  8000,     T: 25.0,    Energy: 187.979065 kcal/mol
thread: 7,  step:  9000,     T: 71.0,    Energy: 145.455643 kcal/mol
thread: 11,  step:  8000,     T:102.0,    Energy: 139.919373 kcal/mol
thread: 15,  step:  9000,     T:  0.0,    Energy: 130.067413 kcal/mol
